to,from,symbol,value,origin,tx_hash,gas_used,block_hash,fiat_value,action_type,code_address,eth_usd_pair.price.value,eth_usd_pair.price.decimals,eth_usd_pair.timestamp,eth_usd_pair.aggregator_round_id,fiat_decimals,block_timestamp,gas_price,score_from,score_to
0x28c6c06298d514db089934071355e5743bf21d60,0x12d6433d95e71b2aaf41593ae8558e1bd08ce26d,SLP,0.000000000000011965,0x12d6433d95e71b2aaf41593ae8558e1bd08ce26d,0xa47f458f4dc43de0695362906ca1450b2a8ce7e1697896a268fbfd5daaa393fb,29635,0x54a6360aaf3958067b1893152f6e54c4cf9695eb51c3253acd0a5ea0e8e97708,92563094575,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636332961,469600197582,8,13581,08/11/2021 1:03:23,209000000000,83,85
0x28c6c06298d514db089934071355e5743bf21d60,0x5f808a6e4c2daf99f028d9ed53281dd391752c55,SLP,0.000000000000011891,0x5f808a6e4c2daf99f028d9ed53281dd391752c55,0x2b18970fac31616aed81f364077fdae2c7c20cecbc3c6c55291895bb2a6c5327,29635,0x54a6360aaf3958067b1893152f6e54c4cf9695eb51c3253acd0a5ea0e8e97708,91990619105,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636332961,469600197582,8,13581,08/11/2021 1:03:23,158000000000,67,85
0x28c6c06298d514db089934071355e5743bf21d60,0xd4a777177120cbc62fa16751d881ffefa36e5901,SLP,0.000000000000011744,0xd4a777177120cbc62fa16751d881ffefa36e5901,0x728f37b88c57aea99915524161d7d1bd045c3d5e2d55c5c8ca66642ce2d77c26,29635,0x54a6360aaf3958067b1893152f6e54c4cf9695eb51c3253acd0a5ea0e8e97708,90853404320,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636332961,469600197582,8,13581,08/11/2021 1:03:23,158000000000,90,85
0x28c6c06298d514db089934071355e5743bf21d60,0xbcb83ad98351dbf98d0b16cacafee2166336b4af,SLP,0.000000000000011677,0xbcb83ad98351dbf98d0b16cacafee2166336b4af,0x3db67b9554697fa3ddc5ead84dff27376234fdba2ddafaf29dee2ba2b71c8ad2,29635,0x8727d1209b52b73b8a799d1beeb1b50269b242dd06cd2c0d3dc545fb6694deed,90335081935,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636332961,469600197582,8,13581,08/11/2021 1:03:58,158000000000,96,85
0x28c6c06298d514db089934071355e5743bf21d60,0x75c57f963992122f0a701e5482523781eb89baf9,AXS,233.16017899,0x75c57f963992122f0a701e5482523781eb89baf9,0x4991cfad1f62b1def3424b95e441023b1ecd200c2cad195570f419302bcf3b12,29729,0x400d42de54bd15720705971d2935e718b778f33277991d3e1e7690a3f53bda8f,362174256660395724050000000000,LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,25,1636332961,469600197582,8,13581,08/11/2021 1:04:09,169000000000,76,85
0x28c6c06298d514db089934071355e5743bf21d60,0x17545296aaf57f30957cd55e5ff441b569faf0ac,SLP,0.000000000000010938,0x17545296aaf57f30957cd55e5ff441b569faf0ac,0x64f3b38f7abcb5a891ff1837305c0089351840c6fdfbdbf470781cc957480f97,29635,0x400d42de54bd15720705971d2935e718b778f33277991d3e1e7690a3f53bda8f,84502886250,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636332961,469600197582,8,13581,08/11/2021 1:04:09,158000000000,65,85
0x28c6c06298d514db089934071355e5743bf21d60,0xab15a97ca99595dc4bde55e70510798771b76240,SLP,0.000000000000010729,0xab15a97ca99595dc4bde55e70510798771b76240,0x62c64fd216fed980f6c948fbe044019c6fab2a118b0c34b52b2f9236de547617,29635,0x66933ff4a35fada4c2b1f21a1f0015134933180a37743d86919dbd45d94119fd,82888230625,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636332961,469600197582,8,13581,08/11/2021 1:04:16,178000000000,70,85
0x28c6c06298d514db089934071355e5743bf21d60,0x85a001122fe2c41308acf93ff1dd6757fc4d4055,SLP,0.000000000000010799,0x85a001122fe2c41308acf93ff1dd6757fc4d4055,0x71085ef68f182228046e344918e2d2952a2075975cfa03e30540d85c1ae40bf6,29635,0x66933ff4a35fada4c2b1f21a1f0015134933180a37743d86919dbd45d94119fd,83429024375,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636332961,469600197582,8,13581,08/11/2021 1:04:16,158000000000,68,85
0x28c6c06298d514db089934071355e5743bf21d60,0xb58aba53e484ca21dd9f47dfcc9bbf670e087ce8,SLP,0.000000000000010653,0xb58aba53e484ca21dd9f47dfcc9bbf670e087ce8,0xb62f334b81fda1cc6c7d62fe2537fdff611215e4fcbd67139e2465d4eede6b0e,29635,0x386018b0b9aa40f29486e776c65e1c3e727defb3fe2cab0edd78bc52b8b06875,82301083125,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636332961,469600197582,8,13581,08/11/2021 1:04:28,170000000000,82,85
0x28c6c06298d514db089934071355e5743bf21d60,0x0a0c7deb8b435879125e618336533b766a4a2cf0,SLP,0.000000000000010335,0x0a0c7deb8b435879125e618336533b766a4a2cf0,0x318fa8138d36345b1f293d60b363b90223b0f35fe4bdc0b820a7c9c231479720,29635,0x386018b0b9aa40f29486e776c65e1c3e727defb3fe2cab0edd78bc52b8b06875,79844334375,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636332961,469600197582,8,13581,08/11/2021 1:04:28,158000000000,96,85
